,이름,제조사,주원료,규격,도수,설명
282,백구막걸리,한통술양조장,"쌀. 설향곡(누룩), 시나몬(스리랑카), 벌꿀, 둥글레, 감초",330ml,8%,"백구, 109 막걸리는 눈처럼 하얀 빛깔과 독특한 향기를 가진 누룩 설향곡으로 빚어진 막걸리다. 수익 중 1.9%를 유기견 보호에 후원하고 있다고 하고 있다."
283,경기백주,우리술별처럼 과천도가,"정제수, 경기미 햅쌀, 국, 효모",500ml,14%,우유처럼 흰 술이라는 뜻으로 백주라고 불리기도 하는 막걸리입니다. 맑고 하얀빛깔을 내는 과천도가 경기백주는 멥쌀을 익히지 않고 생쌀 그대로 빚어 신선하고 담백합니다. 숙성 기간이 길어질수록 짙은 풍미가 올라오는 특징이 있으니 시간의 흐름에 따라 변하는 맛을 음미해 보는 것도 추천드려요
284,한영석 하향주,한영석의발효연구소,"찹쌀, 정제수, 한영석 누룩(향미주국)",375ml,13.8%,동의보감에 ‘하향주는 맛이 달고 열을 제거하고 피로와 갈증을 치유한다’고 기록되어 있다. 청량하면서도 깔끔한 맛이 고기의 고소한 맛을 더욱 강하게 느끼게 한다.
285,원소주,원스피리츠 농업법인 주식회사,"물, 쌀(국내산)",375ml,22%,"원소주는 대한민국 화폐단위인 원과 동전을 메인 모티브로 대한민국 국기인 태극기의 건곤감리를 원안에 배치하여 대한민국 대표 소주가 되고자 하는 염원을 담았다. 100% 국내산 쌀을 사용하고 소주에 사용되는 합성첨가물을 넣지 않았습니다. 또한, 2주간의 옹기 숙성을 통해 소주 맛이 더욱 부드럽고 깔끔합니다."
286,맑은내일 유자,농업회사법인 맑은내일 주식회사,"정제수, 쌀, 입국[쌀], 주정, 유자과즙, 기타과당, 누룩[밀], 효모, 아밀라아제",735ml,7%,"맑은내일 유자는 해풍을 맞고 자란 황금빛 거제도 유자와 국내산 쌀로 빚어 만든 프리미엄 약주이다. 합성 착향료나 인공첨가물을 넣지 않고 최적의 비율로 배합하여 상큼한 유자의 맛과 독특한 향미를 극대화하였고 가벼운 바디감과 부드러운 목넘김이 특징이다. 입안 전체에 은은하게 퍼지는 유자의 맛과 향이 매력적인 술, 맑은내일 유자이다."
287,맑은내일 스파클링막걸리 Signature,농업회사법인 우포의아침 주식회사,"정제수, 맵쌀(국내산), 누룩, 정제효소, 아스파탐(합성감미료 / 페닐알라닌함유), 밀함유",970ml,6%,전체적으로 산뜻한 과일이 떠오르는 풍부한 향과 청량한 느낌의 풍미가 좋다. 맑고 청량한 탄산감이 입안을 상쾌하게 해주며 쌀에서 오는 자연스러운 단맛과 함께 적당한 산미가 느껴진다. 고소함꽈 쌉쌀함이 여운에 남는다.
288,맑은내일 발효막걸리 Signature,농업회사법인 우포의아침 주식회사,"정제수, 백미(국내산), 누룩, 정제효소, 아스파탐(합성감미료/페닐알라닌함유), 밀함유",930ml,6.5%,"프리미엄 막걸리 맑은내일 발효막걸리 Signature 는 한국 전통 누룩으로 빚어 걸쭉하면서 진하고 누룩 함량이 높아 부드럽고 깊은 향이 일품이다. 묵직한 누룩맛과 부드러운 텍스처, 유산균이 빚어내는 오묘한 산미와 단맛의 조화가 특징이다.  제품이 완성된 후에도 효모는 발효되기 때문에 시간의 경과에 따라 다른 맛과 느낌으로 즐길 수 있다."
289,별산오디 스파클링 막걸리,양주도가,"정제수, 쌀(국내산), 당류가공품(원당, 올리고), 오디(국내산), 종국, 효모",800ml,6%,우수한 품질의 양주쌀과 국내산 오디 100%로 만든 막걸리로 짜릿한 천연탄산의 청량감과 상큼한 오디 맛의 조화가 어우러지는 술이다.
290,김수한무,한국고량주 농업회사법인,"수수(국내산), 누룩(국내산), 효모(국내산), 정제수",375ml,39%,"김수한무는 한국고량주의 첫 브랜드로 한국인의 무병장수를 기원하는 의미로 만들었다. 한국사람이 한국에서 한국의 수수로 만든 고량주로, 누가, 어디서, 어떻게, 무엇을 넣어서 만들었는지 알 수 있는 고량주는 한국고량주뿐이다."
291,미르아토 증류주 tears of god,금용농산,포도 등,200ml,40%,"미르아토 증류주 와인은 포도 와인을 증류하여 도수를 높인 증류주로써, 포도의 향과 황금빛 컬러를 강조한 증류주입니다."
292,"산막와이너리, 초련",산막 와이너리,"포도, 아황산칼륨, 백설탕, 증류주",500ml,20%,"산막와이너리의 초련은 산머루와 캠벨의 이상적인 조화로 탄생한 블렌디드 레드와인이다. 독특한 향미와 세련된 밸런스가 돋보이는 와인이다. 스테인레스 스틸 탱크에서 18개월 이상 숙성된 초련2018은 아직도 충분한 잠재력을 품고 있는 와인이다. 산막와이너리가 추구하는 와인을 향한 열정을 그대로 담아낸 레드와인인 초련은 향, 산미, 달콤함, 타닌이 적정하게 균형을 이루고 있다."
293,딸링 막걸리,다도참주가,"물, 쌀, 올리고당, 딸기, 누룩, 조제종국, 효모, 아스파탐(감미료, 페닐알라닌 함유)",650ml,5.5%,다도참주가에서는 개량된 입국의 단조로움을 보완하고 전통누룩의 풍부함을 이끌어내기 위해  손수 입국을 직접 만들어 사용한다. 딸링은 딸기를 듬뿍 넣어 딸기향이 가득한 산뜻한 프리미엄 막걸리로 너무 차갑지 않은 온도로 마시면 더욱 조화롭고 향기로운 맛을 느낄 수 있다.
294,인사이더 블루베리,가나다라브루어리,"사과, 정제수, 효모, 설탕, 블루베리, 구연산(산도조절제), 합성향료(블루베리향),베리류색소,이산화탄소",330ml,3%,"블루베리가 들어간 애플사이더로, 은은한 블루베리와 사과향을 즐길 수 있다. 눈과 입을 모두 만족시킬 수 있는 은은한 노란빛의 맑고 투명한 사이더를 담았다. 3%의 낮은 도수와 달콤한 맛으로 가볍게 마시기 좋다."
295,위 (we)레드 (2018)와인,위 와이너리,국내산포도 100%,750ml,12%,씨엘 위 레드 와인 2018은 오크향이 베인 나무향과 붉은 과일 맛의 균형감이 좋은 와인이다. 강한 바디감과 함께 당도가 높지 안고 산미와 탄닌감이 잘 느껴진다.
296,아우내,(주)두레양조,"포도주 증류원액, 주정",360ml,20%,두레앙 고객의 대중화를 위해 출시된 제품으로 포도주 증류주의 향을 보유하면서 알콜도수를 낮추어 보다 부드러운 맛과 알코올의 맛을 내어 누구나 즐길 수 있습니다.
297,에델 스위트와인,에델농원,"매실(100%), 정제수, 정제당, 효모",375ml,13%,"순수하고 깔끔한 맛과 풍부한 매화향을 느낄 수 있는, 첨가물이 없는 매실와인이다. 술에 약하신 분들에게 추천하는 것으로 단맛을 강하게 느낄 수 있으며 목 넘김이 부드럽다. 디저트 와인으로 적당하다."
298,에델 미디움 스위트와인,에델농원,"매실(100%), 정제수, 정제당, 효모",375ml,13%,"순수하고 깔끔한 맛과 풍부한 매화향을 느낄 수 있는, 첨가물이 없는 매실와인이다. 맑고 투명한 황금빛의 찬란함을 먼저 눈으로 맛볼 수 있다. 새콤한 맛이 퍼지고 이내 깔끔하게 넘어간다."
299,삼양춘 스파클링,삼양춘,"정제수, 쌀(국내산), 전통누룩(밀), 탄산가스, 효모, 정제효소제",500ml,13%,"삼양춘 약주에 스파클링을 가미하여 향긋한 과실향과 꿀향, 곡물향이 어우러져 조화를 이룬다. 탄산이 주는 청량한 산미 끝에 바닐라향이 맴돈다."
300,소백산(샤토소백) 스위트 레드와인,산내들 와이너리,국내산포도 100%,750ml,12%,"다른 떼루아 다른 맛과 향기, 소백산자연을 그대로 담은 명품 한국와인이다. 우리나라 캠벨포도 본연의 달콤한 맛과 향 그리고 부드러운 목넘김이 특징이다."
301,주홍춘,술빚는 전가네,"포천쌀, 흑미찹쌀, 전가네이화곡, 연잎, 정제수",350ml,10%,흑미찹쌀로 빚은 달달하고 향긋한 탁주이다.
302,정감생막걸리,악양주조,"정제수, 백미(국내산), 찹쌀(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 미강(쌀겨), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",750ml,6%,깊은 산골 청정수와 신토불이 하동산 쌀과 찹쌀 그리고 우리밀 누룩으로 장기 저온에서 발효숙성하여 장인의 정성이 빚어낸 한 잔에 오미를 담아 달빛같은 감성이 살아 숨쉬는 전통 곡주이다.
303,악양생막걸리,악양주조,"정제수, 백미(국내산), 입국(국내산), 누룩(국내산), 조효소제(밀), 젖산(산도조절제), 혼합제제(효모, 덱스트린, 유당), 혼합제제(스테비올 배당체, 덱스트린), 혼합제제(효소:아밀라아제, 효소:글루코아밀라아제, 탄산칼슘, 황산칼슘)",750ml,6%,지리산 청정수와 국내산 햅쌀 그리고 우리밀 누룩으로 저온숙성하여 빚어낸 다양한 유익균이 살아 숨쉬는 전통주이자 경남 하동의 지역특산주이다.
304,시향가 미니캔막걸리,시향가주식회사,"물, 쌀, 건조토란, 젖산, 누룩, 효모, 정제효소제",200ml,8%,"언제 어디서나(여행, 캠핑, 차박, 골프,낚시 등) 가볍게 즐길 수 있는 200ml 캔 막걸리로, 발효를 위한 시간을 계획하여 일정량만 직접 생산하여 새로운 토란과 막걸리 조합의 맛과 향을 지닌 술이다."
305,빨간쌀막걸리,복순도가,,935ml,6.5%,"매력적인 붉은색을 띄면서 복순도가 손막걸리만의 탄산이 그대로 살아있는 홍국쌀 막걸리이다. 울주쌀에 홍국균을 흩뿌려 7일동안 한 번, 복순도가 가양주 전통방식 그대로 30일간 또 한번 두번 발효하여 출하한다."
306,대관람차,두루미양조장 / 구름아양조장,,500ml,12%,"스피어민트 같은 상쾌하고 시원하면서도 참외와 바닐라가 떠오르는 달콤한 풍미를 갖고 있다. 적당한 바디감에 탄산이 없으며 부드러운 질감과 목 넘김, 깔끔한 끝맛으로 훌륭한 밸런스를 보여준다."
307,육십일도,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",250ml,61%,환갑을 축하하는 의미를 가지고 있는 두 번 증류한 증류주이다.
308,사십오도,술빚는전가네,"쌀, 효모, 젖산, 옥분, 억새어린순, 지초뿌리, 정제수",250ml,45%,두 번 증류한 증류주로 지초가 들어가 깔끔한 맛의 술이다.
309,선비 보드카,농업회사법인 토끼소주,"정제수, 주정, 쌀증류식소주원액",750ml,40%,
310,산막와이너리 증류주 환희,산막 와이너리,국내산 캠벨얼리 100%,375ml,40%,"산막와이너리의 와인 화몽을 동증류기로 증류, 오랜 시간에 걸쳐 최대한 천천히 증류주를 뽑아내어 맛과 향이 풍부함."
311,고도리 징기스칸 브랜디,고도리 와이너리,,375ml,40%,잘 숙성된 레드와인을 증류시켜 오크통에서 1년간 숙성을 거친 뒤 병입한 제품으로 향긋한 과일향과 깊은 오크향이 조화를 이루어 초주와 말주를 제거하여 숙취가 없고 맛이 깔끔합니다.
312,추사백40 사과 증류식 소주,예산사과와인,,500ml,40%,추사백은 사과를 세척하여 착즙 후 알코올 도수를 높이기 위해 약 8% 당분을 가당하여 30일 동안 발효하여 감압 방식 증류기로 저온 증류한 술이다.
313,오디여라,전주이강주,"오디증류원액(오디:국내산), 정제수, 올리고당",375ml,25%,"국내산 유기농 오디와 국내 기술로 분리해 낸 토종 베리효모를 사용하여 저온 발효, 오크통 숙성으로 부드럽고 풍부한 오크향을 부여한 술이다."
314,느린마을 약주,배상면주가,"정제수, 쌀(국내산), 기타과당, 설탕, 국[곡자(밀), 조효소제(밀), 정제효소제], 젖산, 건조효모",700ml,12%,"쌀로 발효한 라이스 와인으로, 첫 입에 신선한 산미와 뒤이어 은은하게 퍼지는 단맛이 밸런스가 좋고, 쌀의 깊은 풍미가 메워 기분 좋은 여운을 남기는 술이다."
315,인어교주해적술,영덕주조,"정제수, 증류원액(쌀, 국내산), 포도당, 포도과육(국내산), 효소처리스테비아, 포도향(합성향료), 구연산(산도조절제), 진주빛색소, 식용색소청색 제 1호(착색료), 이산화탄소",360ml,15%,"신선한 포도의 새콤한 신맛과 달달함이 톡! 쏘는 탄산과 어우러져 바다의 청량함을 느낄 수 있는 리큐르주이다. 홈술이나 홈파티, 홈바로 가볍게 즐기기 좋으며, 소중한 기념일이나 특별한 날을 위한 이벤트주로도 아주 좋다."
316,볼빨간미자,술샘,"물, 주정, 정백당, 오미자(국내산)",375ml,16%,아름다운 붉은 빛깔로 한 모금 마셨을때 퍼지는 오미자향과 맛이 일품이다. 5가지 맛의 국내산 오미자를 그대로 담아낸 프리미엄 리큐르이다.
317,미르아토 로제와인,금용농산,켐벨포도 등,750ml,12%,미르아토 로제 스위트는 부드러운 향과 달콤함이 최상인 제품이다. 샤인머스켓을 첨가하여 쓰지 않고 달콤하며 특유의 알코올 냄새가 없어 호불호가 많이 없는 와인이다. 상큼한 향과 영롱한색상까지 품어 아름답다.
318,미르아토 청수 스위트 (화이트)와인,금용농산,,750ml,12%,미르아토 청수 스위트 화이트 와인은 국산포도 청수를 직접 초생재배하여 청수만이 가진 상큼함과 향기로움을 최대화 시키고있다. 화려하고 매력적이며 가볍고 신선한 청수 100% 화이트 와인이다.
319,고도리 아이스와인(아이스 375),고도리 와이너리,,375ml,12%,"화려하고 풍부한 단맛의 디저트용 와인으로, 포도 알갱이가 얼어불을 때까지 기다렸다가 와인을 만들기 때문에 다른 와인에 비해 아이스와인은 들어가는 포도의 양이 많다 그만큼 귀한 와인으로 고급스러운 단맛과 진한 향을 선사한다."
320,끌로너와 스위트와인,너와마을영동조합,머루,750ml,12%,"끌로너와 와인은 너와마을 주민이 직접 재배한 유기농, 무농약 머루로 정성스럽게 빚은 고급 와인이다. 강하게 밀려오는 향기와 진하고 순수한머루에 향기와 맛이 계속 입안에 남아 머무르는 느낌을 받는다."
321,포엠 화이트와인,갈기산농업회사,"포도, 백설탕, 효모",750ml,12%,"청수와 나아이가라를 블랜딩하여 만든 세미 스위트와인으로, 청포도의 새콤하면서도 깔끔한 맛과 향이 부드럽고 달콤하며 균형감이 좋다. 옐로 다이아몬드의 색을 그대로 가진 화이트 와인이다. 달콤함과 산뜻함을 가진 향, 더불어 잘 익은 청포도의 향이 뒷받쳐 준다. 입속에 머금은 순간 잘 익은 포도를 깨무는 듯한 식감이 펼쳐지며 마지막에 떨어지는 신맛은 식욕을 더욱 돋우는 매력이 있다."
322,포엠 로제와인,갈기산농업회사,"포도, 설탕, 효모, 메타중아황산나트륨, 소르빈산칼륨",750ml,12%,"옅은 핑크빛이 도는 스위트 와인으로, 장미향이 은은하게 나는 달콤한 디저트와인이다. 당도와 산도의 밸런스가 좋아 깔끔하고 뒷맛이 좋은 와인이다. 레드 다이아몬드의 색을 가진 와인으로 향이 바로 치고 오지는 않지만, 잔잔히 올라오는 포도향이 좋다. 살짝 입을 대면 향에서 숨겨졌던 잘 익은 포도 맛이 그대로 올라온다. 떫은맛, 타닌감, 산미는 지극히 적지만, 이 맛 하나로도 충분히 맛을 표현하고 있다."
323,멜론서리,댄싱사이더 컴퍼니,"사과즙(국산), 멜론과즙(국산), 정제수, 건조녹차(국산), 탄산가스, 페퍼민트티, 사과산(산도조절제), 구연산(산도조절제), 효모, 메타중아황산칼륨, 멜론항아황산류함유",330ml,5%,멜론을 갓 짜내 마시듯 자연스러운 달콤함을 맛볼 수 있는 미디엄 스윗 사이더이다. 첫 맛은 멜론의 달콤함이 맞이하고 끝 맛은 민트의 상쾌함으로 마무리된다.
324,시나브로 에뚜왈 화이트 스파클링와인,불휘농장,국산포도(영동포도),750ml,5%,충청북도 옥천 포도연구소와 농촌진흥청에서 육종개발한 화이트 와인 양조용 포도 품종인 청수를 원료로 만든 화이트 스파클링 와인이다. 청포도의 싱그러운 맛과 향이 살아있으며 청량한 느낌의 레몬골드빛이 탄산을 품고 있어 보기에도 상큼한 느낌이 가득하다.
325,소계리 595 스위트 레드와인,소계리 와이너리,"포도(국내산), 설탕, 효모, 메타중아황산칼륨",750ml,12%,충청북도 영동지역에서 직접 재배한 당도 높은 포도로 와인을 만들어 고유의 향과 맛이 뛰어나다. 와인을 잘 드시지 않거나 쓴맛이 싫으신 분들도 편하게 마실 수 있는 와인이다.
326,세인트하우스 살구와인,해미읍성딸기와인,살구 80%,500ml,12%,살구 80%의 함량을 자랑하는 살구와인은 달콤하고 향긋하게 입안에 퍼진다. 살구 또한 친환경 농법으로 직접 재배하여 사용하며 충분히 달콤하다가 느낄 수 있는 당도이지만 과하게 끈적이거나 무겁지 않다.
327,세인트하우스 모과와인,해미읍성딸기와인,모과 80%,500ml,12%,친환경 농법으로 재배한 모과로만 만든 최상의 와인으로서 그 맛과 향이 우수하다. 탄산은 없으며 적절한 당도와 바디감이 느껴진다.
328,샤토미소 아이스와인,도란원,"포도(국내산100%), 메타중아황산칼륨, 소르빈산칼륨, 효모",375ml,12%,"도란원만의 독창적인 고농축, 아이스 제조기법으로 포도의 당을 동결, 추출, 발효하여 포도의 풍부한 향과 꿀맛같은 달콤함을 그대로 함축시킨 긴 여운의 아이스 와인이다."
329,베리와인1168 스위트와인,블루컴퍼니,포도 87%,500ml,13%,베리와인은 영동의 캠벨포도로 빚은 와인이다. 도수는 13도로 그리 낮지 않지만 알코올의 탁 치는 맛보다 포도의 달콤새콤한 맛과 향이 강해 부담 없이 넘어간다. 질리는 단맛이 아닌 향을 음미하며 계속 즐기기에 좋은 와인이다.
330,달 1614 스위트와인,덕유양조,"머루(국내산), 포도(국내산), 설탕, 메타중아황산칼륨(산화방지제), 효모",750ml,12%,"달1614는 덕유산 자락에서 달과 함께 맛있게 익어가는 머루와 포도를 보며 덕유산 밤, 달빛과 함께 사랑하는 연인과 또는 동반자와 함께 와인을 마시면서 로맨틱한 분위기가 무르익어가는 이야기를 담은 와인이다. 포도의 향긋함은 그대로 살리고 머루의 산도와 단맛의 균형이 조화를 이루는 은은한 단맛의 와인이다."
331,도구막걸리,동해명주,"밀(외국산), 쌀(국내산, 외국산), 물엿, 효모, 조제종국, 정제효소제, 아스파탐, 젖산",750ml,6%,도구 막걸리는 1955년 도구양조장이 설립되면서 처음으로 만들어진 막걸리이다. 양조장이 위치한 포항시 남구 동해면이 옛 지명으로는 도구리라서 지명을 따서 막걸리를 만들게 되었다. 도구 막걸리는 밀과 쌀로 빚은 막걸리로 밀막걸리 특유의 구수한 향과 예스러움을 간직한 막걸리이다.
332,곤드레생막걸리,정선명주,"백미(국내산), 감자(정선산), 곤드레(정선산)",750ml,6%,국내산 쌀과 메밀로 빚은 생막걸리로 메밀쌀로 빚어 메밀향이 그대로 살아있다. 산나물 자생에 최적지인 강원도 정선의 대표 나물인 곤드레를 첨가한 막걸리이다.
333,매화마름,배혜정도가,"물, 유기농 갈색설탕(필리핀산), 유기농쌀(국내삼), 국, 효모, 산도조절제, 잔탄검(밀함유)",375ml,14%,매화마름 맛술은 멸종위기 식물 매화마름을 보존하는 한국 내셔널 트러스트의 &amp;#039;매화마름쌀&amp;#039;로 빚는 술이다. 세계 최초로 람사르 습지로 등록 된 강화 매화마름 군락지의 논에서 수확한 유기농 쌀 한방울 한방울 천천히 내려 만들어 요리에 풍미를 더하고 식감을 더해준다.
334,한강의설레임,김포도가두두,"쌀(김포산), 개량누룩, 효모, 정제수",600ml,11%,"한강하구 김포평야에서 생산된 5천년 전통 김포쌀이 들어간 술로 인공첨가물이 전혀 없는 쌀, 물, 누룩, 효모만으로 무증자, 생쌀발효기법으로 만들었다. 막걸리 윗 부분의 맑은 부분을 마시면 마치 화이트 와인 같은 향기 좋은 술맛을 느낄 수 있고 후에 흔들어 마시면 산도는 적고 목넘김이 부드러운 달달한 맛이 채워진다. 향미증진 효모가 사용된 술로 향미는 우리나라 볏짚에서 분리한 효모로 특허등록이 됐으며 전통주에 최적화된 국내선발 유일한 양조효모 등으로 알려져있다."
335,서설,술샘,"쌀(국내산 경기미), 쌀누룩(국내산 경기미 조제종국)주정, 설탕, 구연산, 효모, 정제수",375ml,13%,"최고의 경기미인 용인 백옥쌀을 사용하고 국내에서 평지고도가 가장 높은 분수령의 지하 120m의 약알칼리성 청정수를 이용하여 맛이 부드럽다. 눈이 내린 밭에 첫발을 내딛는 듯한 모습을 형상화 하여 라벨에 은은하게 담아내었다. 정밀여과 및 활성탄 여과기법활용으로 알코올향과 쓴맛을 없애 목넘김이 부드럽고 청주 고유의 향과 맛 이외의 이미, 이취가 없다."
336,배도가 심플리 애플,배혜정도가,"정제수, 사과즙(국산), 쌀(국산), 벌꿀(국산), 천연향료(사과향), 구연산, 국, 효모, 비타민C, 밀함유",350ml,12%,소주 특유의 향미에 신선한 사과즙의 싱싱함과 상큼함을 벌꿀의 달콤함으로 감싸 안은 제품으로 고도주의 소주가 부담스러운 분들도 편안하게 즐기실 수 있도록 시중에서 판매되는 대부분의 와인들과 같은 도수인 12도로 개발한 술이다.
337,추사백25,예산사과와인,"증류원액(사과증류원액, 사과: 국내산), 정제수",350ml,25%,사과를 발효하여 진공저온 증류한 소주형태의 사과증류주이다. 증류 후 일체의 주정이나 감미료를 넣지 않아 사과의 은은한 풍미가 느껴지며 증류 과정에서 메탄올 등 숙취 원인물질을 제거하여 뒤끝이 깨끗한 술이다. 저온 증류하여 상큼한 사과향이 풍부하게 살아있어 상쾌하고 깔끔하며 부드럽니다. 한식과도 잘 어울리며 다양한 칵테일로 즐기기에도 좋다.
338,죽향41,죽향도가,"정제수, 쌀(국내산), 벌꿀, 조제종국, 정제효소, 젖산",375ml,41%,담양의 친환경쌀을 우리 전통의 소주 제조기법으로 1~3년 저온숙성을 통해 만든 41도의 프리미엄 증류소주. 특유의 향과 깔끔한 맛이 특징이다.
339,일엽편주,농암종택 전통주,"찹쌀, 멥쌀(국내산), 누룩, 정제수, 밀 함유",375ml,38%,상압증류 후 무여과 병입하였으며 고소함과 감미가 풍부하며 부드러운 맛과 향이 난다. 시간이 지날수록 깊이와 기품있는 향이 더해지는 술이다.
340,유기농 이도 32,조은술 세종,"물, 증류원액(유기농 쌀, 국내산)",375ml,32%,친환경 유기농 쌀로 빚은 술로 젊은 세종대왕 이도가 32년간 재위함을 기린 전통 소주이다. 최초의 유기가공인증 증류주로 말걸리형 전통주이며 끝 맛이 부드럽다.
341,엄청주,삼오식품,"엄나무(국내산), 천일염, 토종꿀(국내산), 정제수",360ml,18%,"맑은술 엄나무주 엄청주는 자연친화적이며 양기의 상징인 대표적인 술로 3개월 이상을 숙성시켜 만들었다. 담금주 치고는 비교적 알코올 도수가 낮지만 이는 엄마누 약성은 저도수 알코올에 잘 녹기 때문에 약효를 최대한 살리기 위한 방법이다. 엄나무는 염증질환과 신경통, 간장질환에도 효과가 크다고 알려져 있으며 열량이 적어 다이어트에 효과적이다. 직접 엄나무를 자연재배하여 엄나무의 효능을 담은 술이다."
342,아리아리,정선명주,"정제수, 과실주증류주원액(정제수, 오가피열매: 정선산, 설탕, 효모)",500ml,40%,
343,소여강 25%,추연당,"쌀증류주원액(국내 여주쌀), 정제수",375ml,25%,프리미엄 술들이 선택한 단식증류방식으로 2번 내린 증류주. 추연당만의 여과기법과 숙성을 통해 저도수 증류주에서 느낄 수 없는 탁월한 밸런스를 느낄 수 있다.
344,선비 진,농업회사법인 토끼소주,"진증류원액, 찹쌀(국내산), 감귤(국내산)",375ml,48%,"부드러운 단맛을 위해 맵쌀이 아닌 100% 찹쌀을 사용하여 조선시대 때의 방식으로 찹쌀가루를 내서 범벅으로 덧술을 빚어서 만든 술이다. 찹쌀이 선사하는 향기와 달큰함이 부드럽게 목을 타고 넘어가며 목넘김 후 올라오는 고도주 특유의 향과 느낌은 첨가물이 없는 깔끔한 재료 덕분에 깨끗하게 다가온다. 조선 시대에 지식과 인품을 갖춘 사람에 대한 호칭인 선비의 정신을 담아 더 높은 비용이 들지라도 더 나은 품질을 위해 찹쌀, 오미자와 같은 값비싼 재료를 주저하지 않고 사용한 술이라 하여 이름을 선비 진이라 붙였다."
345,로아40화이트,배혜정도가,"쌀소주원액(쌀(국내산), 물, 국, 효모, 젖산), 물, 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",350ml,40%,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 쌀을 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 쌀향을 느낄 수 있습니다.
346,로아19화이트,배혜정도가,"물, 쌀소주원액(쌀(국내산), 국, 효모, 젖산, 물), 주정, 벌꿀(국내산, 천연), 아카시아향(합성착향료)",350ml,19%,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 쌀을 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 쌀향을 느낄 수 있습니다.
347,로아40퍼플,배혜정도가,"포도소주원액(포도(국내산), 효모, 설탕, 메타중아황산칼륨(산화방지제), 정제수",350ml,40%,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 포도를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 포도향을 느낄 수 있습니다.
348,로아19옐로우,배혜정도가,"배소주원액(배(국내산), 쌀(국내산), 물, 효모, 국, 젖산), 물",350ml,19%,로아 19도 옐로우는 국내산 쌀과 배를 원료로 사용하여 빚은 술을 상압동 증류기를 통해 증류하여 장기간 숙성한 제품입니다. 흰 빌깔의 이슬이라는 뜻을 담은 프리미엄 증류주로써 로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 배를 사용하여 고도주의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 배향을 느낄 수 있습니다.
349,로아19레드,배혜정도가,"사과소주원액(사과(국내산), 설탕, 효모, 메타중아황산칼륨(산화방지제), 셀룰라아제), 정제수",350ml,19%,로아를 만드는 한방울 한방울의 시간은 한국적인 정성스러움을 로아의 맑고 투명함은 비움과 여유 그리고 풍류를 의미합니다. 사과를 사용하여 술의 풍미를 부드럽게 감싸주고 은은하며 그윽하게 퍼지는 사과향을 느낄 수 있습니다.
350,달홀진주40,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,40%,전통방식증류의 무감비 순수 증류주. 레몬이나 라임을 띄워 얼음과 함께 칵테일 해서 마시면 더욱 좋다.
351,달홀진주25,농업회사법인 달홀주조,"정제수 증류원액(쌀: 국내산), 국, 효모, 정제효소제",375ml,25%,전통방식증류의 무감비 순수 증류주. 레몬이나 라임을 띄워 얼음과 함께 칵테일 해서 마시면 더욱 좋다.
352,금설,금산인삼주양조장,"쌀(국내산)증류원액, 금박(순도97%), 기타과당",375ml,35%,금가루가 술과 섞여 금싸라기 눈이 내리는 듯 온화하고 따뜻한 순수 100% 증류주이다. 거친맛을 내는 상압증류 방식에 비해 첫 맛은 부드럽고 끝 맛은 깔끔한 감압증류 방식을 사용함으로써 원주 고유의 맛을 최대한 살렸다.
353,각시탈,명품안동소주,"쌀증류원액(쌀: 국내산), 정제수, 발효주정",200ml,45%,국내산 쌀 100%로 만든 700년 전통의 증류식 안동소주로 부드럽고 깔끔하여 숙취가 적다. 화학첨가물이 전혀 들어가지 않아 안심하고 먹을 수 있으며 증류식 소주로 은은한 향과 감칠맛이 개운하며 목넘김이 순하고 담백하다. 국내 유일하게 3회 여과한 증류원액을 사용하여 화근 냄새를 줄였으며 전통의 맛과 향을 개선하여 누구나 즐길 수 있게 대중화했다. 마신 후 입안 가득 향이 퍼지며 뒤끝이 깨끗하여 다음날 숙취가 적은 전통주이다. 각시탈 모양으로 선물하기 좋다.
